label,sentence
positive,तपाईंको टिभीमा   आएन भने कृपया आफ्नो केबल अपरेटरसँग 'खै ग्यालेक्सी ?'भनेर सोध्नुहोला
neutral,आज साँझ ५ बजे
positive,"हो थाहा छ, प्रतीक्षा अलि लामो  नै भयो  तर निराश बनाउदैनौं ठुक्क हुनु होला"
positive,मुस्लिम  समुदायको महान पर्व इद उल अजहाको अवसरमा हार्दिक शुभकामना
negative,"केरे केरे केरे, अदालतको आदेश मन्दिन रे?? तिम्रो बा को शासन हो र ?"
neutral,हाम्रो आधिकारिक    यो मात्रै हो
neutral,जे मन लाग्यो त्यही ??? कहिले ?? कहाँ ?? कस्लाई??? तपाईं सन्चै हुनु हुन्छ म्याडम???
positive,शिघ्र स्वस्थ्यलाभको शुभकामना
positive,"सम्पर्क भयो, अहिले ठिकै छ भन्ने जानकारी पांए, केही परे कुनै पनि बेला कल गर्न भनेको छु"
neutral,"बिरामी आउनु भएको रहेछ, अस्पताल केवल कोभिडका बिरामीका लागि मात्रै भएकोले उहाँकै  सुरक्षाको लागि अन्तै लैजानु भनिएको जानकारी पांए"
neutral,"वीर अस्पतालमा तुरुन्तै अक्सिजन चाहिएको छ,नत्र मान्छे मर्छ्न् भर्खर फोन आयो? म त्यता लाग्दै छु,तपाईंको नम्बर दिउँ?  कहाँ लिन आउँ म ? मलाई पछि सरापे पनि हुन्न????"
positive,"समाधान भैसकेको छैन भने खबर पाउं, कोशिश गर्छु सम्भवत सकिन्छ  गर्नु भए पनि हुन्छ"
negative,"एक लाख पटक सहमत, मर्नु परेछ भने भुत बनेर आएर पनि सहमत  मृत्यु टुलुटुलु हेर्न कति गाह्रो हुदो रहेछ भन्ने कुरा यो ३ दिनमा देखें डा साब  असाध्यै गार्हो"
neutral,"आमा, केवल सम्झनामा मात्रै"
positive,"हो, यस्तो हुनु पर्छ जनता प्रति उत्तरदायी, जनप्रतिनिधि क्याबात गगन जी"
neutral,"अस्पताल सुचारु छ, समाचार न आएपनि बिरामी आएको आइ छन् सक्दो सेवा गर्दैछ टिमले"
positive,शुद्ध लेख्ने प्रयास गर्नेछु
positive,अमुल्य समय र उत्कृष्ट जानकारी सहितको  सहभागिताका लागि तपाईलाई धेरै धन्यवाद सर यस्तो अवसर जुरि रहोस्
positive,"निकै सकारात्मक र सुखद समाचार विप्लव र सरकार बीच  ३ बुदें सहमति सरकारको सत्प्रयासलाई धन्यवाद छ, मुलधारको राजनीतिमा विप्लव नेतृत्वको दलको प्रवेश होस् बधाई एवं शुभकामना"
neutral,टेलिभिजनमा हाम्रो प्रतीक्षा गरुन्जेल अहिलेलाई समाचारको सार    मार्फत दिने प्रयास गर्दैछौ एकै झलकमा समाचारको सार बुझ्न  लाई फलो गर्नुहोस् हाललाई हामी परिक्षणमा छ
positive,धेरै धेरै शुभकामना तपाई त टिमलाई उत्कृष्ट सामग्रीको शिलशिला निरन्तर चलोस्
neutral,जानकारी
positive,"नया पुस्ताका सितारा  ले   टेलिभिजनका लागी कार्यक्रम बनाउन अनुरोध गरे नाई भन्न सकिन मनमा लाग्यो,मभित्र…"
positive,कृतज्ञ छु दाइधेरै कुरा सिक्न पाउने अवसर मिल्ने कुराले उत्साहित छु
positive,सोनाम ल्होछार तथा ग्याल्पो ल्होछारको उपलक्ष्यमा सबैमा हार्दिक मंगलमय शुभकामना
neutral,तर्साको कि तर्सेको ?
positive,टेलिभिजन सँगको सुखद सहयात्राबाट विश्राम लिदैछु
positive,"त्यही भएर हामीले हेड लाईन चेन्ज गरेको २४ वर्ष नै भयो है बन्धु, पर्याप्त छैन, प्रयास जारी छ"
positive,आजबाट शुरु गर्नु पर्ला धन्यवाद तथा  शुभकामना
positve,राहुल भेटिए है अमृत जी
