label,sentence
positive,मुस्लिम समुदायको महान पर्व इद उल अजहा बकर इदको अबसरमा सुख शान्ति सुस्वास्थ्यको हार्दिक शुभकामना व्यक्त गर्दछु
positive,मे दिवसकाे उपलक्ष्यमा हार्दिक शुभ कामना
positive,आज हामीले ऐतिहासिक पुनःनिर्मित धरहराको भब्य उद्घाटन गरेका छौँ  यस क्षणमा म अत्यन्त हर्षित छु  हर्षको यस क्षणमा म सम्पू…
negative,भाकपा मार्क्सवादीका महासचिव कमरेड  सीताराम यचुरीका सुपुत्र आशिष यचुरीको अल्पायुमै निधन भएको खबरले अत्यन्त…
neutral,रङहरूको पर्व होली फागु पूर्णिमा को अवसरमा सन्देश १५ चैत २०७७
positive,सगरमाथा सहित पाँच उच्च हिमशिखरको सफल आरोहण गरिसक्नु भएकी आरोही माया शेर्पालाई अन्नपूर्ण र धौलागिरि हिमालको सफल आरोहणका लागि हार्दिक शुभकामना व्यक्त गर्दछु
positive,साथै कलेजो प्रत्यारोपण सेवालाई नेपालमा स्थापित गरी अन्य सेवाहरुजस्तै सर्वसुलभ बनाउन सरकारबाट आवश्यक पर्ने सम्पूर्ण सहयोग उपलब्ध गराउने प्रतिवद्धता व्यक्त गर्दछु
positive,कलेजो प्रत्यारोपण सेवा विस्तारमा सहयोग पुर्याइरहनु भएका नयाँ दिल्लीस्थित फोर्टिस अस्पतालका डा विवेक भिज र उहाँको सम्पूर्ण टिमलाई धन्यवाद तथा शुभकामना व्यक्त गर्दछु
positive,नेपाल राष्ट्रको एकीकरणमा राजा पृथ्वीनारायण शाहको योगदान अतुलनीय छ  आज उहाँको २९९ औं जन्मजयन्तिको अवसरमा उक्त विशिष्ठ योग…
negative,भ्रष्टाचार जाेसुकैले गरे पनि अक्षम्य अपराध
positive,सगरमाथाकाे उचाइसँगै देशकाे उचाइ पनि बढेकाे छ   हामी सबैलाई बधाई  नेपाल चीन संयुक्त  टाेलीलाई कष्टसाध्य मेहनतका लागि धन्यवाद
positive,छठ पर्व २०७७ को हार्दिक शुभकामना
